K00174	#b1b6bc	ESV1_ESV14
K00175	#b1b6bc	ESV1_ESV14
K00239	#b1b6bc	ESV1_ESV21_ESV15
K00240	#b1b6bc	ESV1_ESV21_ESV15_ESV14
K00241	#b1b6bc	ESV1_ESV15_ESV14
K00634	#f93a3a	ESV1
K00656	#b1b6bc	ESV1_ESV6_ESV21_ESV14_ESV16
K00929	#f93a3a	ESV1
K01580	#f93a3a	ESV1
K01652	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K01653	#b1b6bc	ESV1_ESV6_ESV21_ESV15_ESV14_ESV16
K03737	#b1b6bc	ESV1_ESV14_ESV16
K00019	#b1b6bc	ESV6_ESV15
K00244	#b1b6bc	ESV6_ESV14
K00245	#b1b6bc	ESV6_ESV14
K00246	#b1b6bc	ESV6_ESV14
K00247	#f93a3a	ESV6
K00626	#b1b6bc	ESV6_ESV15
K01034	#f93a3a	ESV6
K01035	#f93a3a	ESV6
K04072	#b1b6bc	ESV6_ESV21_ESV14_ESV16
K11258	#f93a3a	ESV6
K00004	#b1b6bc	ESV15_ESV14
K00135	#b1b6bc	ESV15_ESV14
K00242	#529af0	ESV15
K00823	#529af0	ESV15
K01028	#529af0	ESV15
K01029	#529af0	ESV15
K01640	#529af0	ESV15
K01782	#529af0	ESV15
K01825	#529af0	ESV15
K03366	#529af0	ESV15
K04073	#529af0	ESV15
K18118	#529af0	ESV15
K00074	#529af0	ESV16
