K02775	#f93a3a	ESV1
K02768	#b1b6bc	ESV6_ESV15_ESV16
K02769	#b1b6bc	ESV6_ESV15_ESV16
K02770	#b1b6bc	ESV6_ESV15_ESV16
K02777	#f93a3a	ESV6
K02781	#f93a3a	ESV6
K02782	#f93a3a	ESV6
K02783	#f93a3a	ESV6
K02784	#f93a3a	ESV6
K02793	#b1b6bc	ESV6_ESV14
K02794	#b1b6bc	ESV6_ESV14
K02795	#f93a3a	ESV6
K02796	#b1b6bc	ESV6_ESV14
K02798	#f93a3a	ESV6
K02799	#f93a3a	ESV6
K02800	#f93a3a	ESV6
K02803	#b1b6bc	ESV6_ESV16
K02804	#b1b6bc	ESV6_ESV16
K02806	#f93a3a	ESV6
K02809	#f93a3a	ESV6
K02810	#f93a3a	ESV6
K02821	#f93a3a	ESV6
K02822	#f93a3a	ESV6
K03475	#f93a3a	ESV6
K08483	#b1b6bc	ESV6_ESV21_ESV15_ESV14_ESV16
K11183	#b1b6bc	ESV6_ESV15
K02755	#b1b6bc	ESV21_ESV16
K02756	#b1b6bc	ESV21_ESV16
K02757	#b1b6bc	ESV21_ESV16
K08484	#529af0	ESV15
K08485	#529af0	ESV15
